,Gene.id,gene.id,GO.ids
10278,111258671,X.2,GO:0055114
10413,111258672,X,GO:0019509
10414,111258672,X.1,GO:0010309
10415,111258672,X.2,GO:0055114
10550,111258675,X,GO:0004930
10551,111258675,X.1,GO:0005515
10552,111258675,X.2,GO:0007186
10553,111258675,X.3,GO:0016021
10687,111258677,X,GO:0003676
10824,111258678,X,GO:0005515
10825,111258678,X.1,GO:0004674
10826,111258678,X.2,GO:0044877
10961,111258680,X,GO:0000398
11098,111258681,X,GO:0003676
11235,111258684,X,GO:0005829
11236,111258684,X.1,GO:0008253
11237,111258684,X.2,GO:0042802
11238,111258684,X.3,GO:0050146
11239,111258684,X.4,GO:0006195
11240,111258684,X.5,GO:0046040
11241,111258684,X.6,GO:0046085
11372,111258685,X,GO:0016020
11373,111258685,X.1,GO:0016780
11374,111258685,X.2,GO:0008654
11509,111258686,X,GO:0005634
11510,111258686,X.1,GO:0003676
11511,111258686,X.2,GO:0003700
11512,111258686,X.3,GO:0008270
11513,111258686,X.4,GO:0006355
11646,111258687,X,GO:0032039
11647,111258687,X.1,GO:0005515
11648,111258687,X.2,GO:0016180
11783,111258688,X,GO:0006270
11784,111258688,X.1,GO:1904153
11785,111258688,X.2,GO:0042802
11786,111258688,X.3,GO:0061630
11787,111258688,X.4,GO:0070936
11788,111258688,X.5,GO:0061631
11789,111258688,X.6,GO:0061186
11790,111258688,X.7,GO:0016607
11791,111258688,X.8,GO:0005783
11792,111258688,X.9,GO:0006513
11793,111258688,X.10,GO:0043951
11794,111258688,X.11,GO:0005524
11795,111258688,X.12,GO:0031625
11796,111258688,X.13,GO:0031939
11797,111258688,X.14,GO:0000082
11798,111258688,X.15,GO:0005829
11799,111258688,X.16,GO:0030433
11800,111258688,X.17,GO:0035458
11920,111258689,X,GO:0005730
11921,111258689,X.1,GO:0005829
11922,111258689,X.2,GO:0000166
11923,111258689,X.3,GO:0017178
11924,111258689,X.4,GO:0017183
11925,111258689,X.5,GO:0031647
11926,111258689,X.6,GO:1903955
12057,111258692,X,GO:0004842
12058,111258692,X.1,GO:0006996
12059,111258692,X.2,GO:0016567
12194,111258694,X,GO:0005737
12195,111258694,X.1,GO:0005886
12196,111258694,X.2,GO:0042995
12197,111258694,X.3,GO:0044421
12198,111258694,X.4,GO:0044425
12199,111258694,X.5,GO:0097458
12200,111258694,X.6,GO:0003824
12201,111258694,X.7,GO:0005515
12202,111258694,X.8,GO:0001822
12203,111258694,X.9,GO:0007411
12204,111258694,X.10,GO:0007420
12205,111258694,X.11,GO:0007507
12206,111258694,X.12,GO:0009967
12207,111258694,X.13,GO:0010769
12208,111258694,X.14,GO:0010975
12209,111258694,X.15,GO:0016477
12210,111258694,X.16,GO:0032270
12211,111258694,X.17,GO:0032879
12212,111258694,X.18,GO:0040012
12213,111258694,X.19,GO:0048523
12214,111258694,X.20,GO:0051093
12215,111258694,X.21,GO:0051241
12216,111258694,X.22,GO:0070887
12331,111258695,X,GO:0031418
12332,111258695,X.1,GO:0005506
12333,111258695,X.2,GO:0016706
12334,111258695,X.3,GO:0055114
12468,111258696,X,GO:0004725
12469,111258696,X.1,GO:0006470
12605,111258697,X,GO:0003824
12606,111258697,X.1,GO:0016051
12742,111258698,X,GO:0005789
12743,111258698,X.1,GO:0019915
12879,111258699,X,GO:0008199
12880,111258699,X.1,GO:0006826
12881,111258699,X.2,GO:0006879
13016,111258702,X,GO:0006355
13017,111258702,X.1,GO:0043565
13153,111258706,X,GO:0051015
13154,111258706,X.1,GO:0007155
13290,111258707,X,GO:0016020
13291,111258707,X.1,GO:0008519
13292,111258707,X.2,GO:0015696
13427,111258708,X,GO:0055085
13428,111258708,X.1,GO:0022857
13429,111258708,X.2,GO:0016021
13564,111258712,X,GO:2000043
13565,111258712,X.1,GO:0007494
13566,111258712,X.2,GO:0061010
13567,111258712,X.3,GO:0000978
13568,111258712,X.4,GO:0007493
13569,111258712,X.5,GO:0023019
13570,111258712,X.6,GO:0044798
13571,111258712,X.7,GO:0001077
13572,111258712,X.8,GO:0001942
13573,111258712,X.9,GO:0048643
13574,111258712,X.10,GO:0030308
13575,111258712,X.11,GO:0046982
13576,111258712,X.12,GO:0060807
13577,111258712,X.13,GO:0001946
13578,111258712,X.14,GO:2000035
13579,111258712,X.15,GO:0001947
13580,111258712,X.16,GO:0001828
13581,111258712,X.17,GO:0042789
13582,111258712,X.18,GO:0021903
13583,111258712,X.19,GO:0061009
13584,111258712,X.20,GO:0045732
13585,111258712,X.21,GO:0003142
